i x0 x1 x2 result
9 -10.000000 -4.600000 0.0 0.000045
10 -10.000000 -4.600000 0.0 0.000045
1 -10.000000 -4.400000 0.0 0.000045
2 -10.000000 -4.400000 0.0 0.000045
3 -10.000000 -4.400000 0.0 0.000045
4 -10.000000 -4.400000 0.0 0.000045
5 -10.000000 -4.400000 0.0 0.000045
6 -10.000000 -4.400000 0.0 0.000045
7 -10.000000 -4.400000 0.0 0.000045
8 -10.000000 -4.400000 0.0 0.000045
9 -10.000000 -4.400000 0.0 0.000045
10 -10.000000 -4.400000 0.0 0.000045
1 -10.000000 -4.200000 0.0 0.000045
2 -10.000000 -4.200000 0.0 0.000045
3 -10.000000 -4.200000 0.0 0.000045
4 -10.000000 -4.200000 0.0 0.000045
5 -10.000000 -4.200000 0.0 0.000045
6 -10.000000 -4.200000 0.0 0.000045
7 -10.000000 -4.200000 0.0 0.000045
8 -10.000000 -4.200000 0.0 0.000045
9 -10.000000 -4.200000 0.0 0.000045
10 -10.000000 -4.200000 0.0 0.000045
1 -10.000000 -4.000000 0.0 0.000045
2 -10.000000 -4.000000 0.0 0.000045
3 -10.000000 -4.000000 0.0 0.000045
4 -10.000000 -4.000000 0.0 0.000045
5 -10.000000 -4.000000 0.0 0.000045
6 -10.000000 -4.000000 0.0 0.000045
7 -10.000000 -4.000000 0.0 0.000045
8 -10.000000 -4.000000 0.0 0.000045
9 -10.000000 -4.000000 0.0 0.000045
10 -10.000000 -4.000000 0.0 0.000045
1 -10.000000 -3.800000 0.0 0.000044
2 -10.000000 -3.800000 0.0 0.000044
3 -10.000000 -3.800000 0.0 0.000044
4 -10.000000 -3.800000 0.0 0.000044
5 -10.000000 -3.800000 0.0 0.000044
6 -10.000000 -3.800000 0.0 0.000044
7 -10.000000 -3.800000 0.0 0.000044
8 -10.000000 -3.800000 0.0 0.000044
9 -10.000000 -3.800000 0.0 0.000044
10 -10.000000 -3.800000 0.0 0.000044
1 -10.000000 -3.600000 0.0 0.000044
2 -10.000000 -3.600000 0.0 0.000044
3 -10.000000 -3.600000 0.0 0.000044
4 -10.000000 -3.600000 0.0 0.000044
5 -10.000000 -3.600000 0.0 0.000044
6 -10.000000 -3.600000 0.0 0.000044
7 -10.000000 -3.600000 0.0 0.000044
8 -10.000000 -3.600000 0.0 0.000044
9 -10.000000 -3.600000 0.0 0.000044
10 -10.000000 -3.600000 0.0 0.000044
1 -10.000000 -3.400000 0.0 0.000044
2 -10.000000 -3.400000 0.0 0.000044
3 -10.000000 -3.400000 0.0 0.000044
