# Verificarlo Analysis for parallel_3
# Source: parallel_3.c
# Type: DOUBLE, Precision: 53, Mode: mca
# Range: [10000:0.01:10001], Iterations: 20
i x result
4 10000.26 8.00020800000000017e+04
5 10000.26 8.00020800000000017e+04
6 10000.26 8.00020800000000017e+04
7 10000.26 8.00020800000000017e+04
8 10000.26 8.00020800000000163e+04
9 10000.26 8.00020800000000017e+04
10 10000.26 8.00020800000000017e+04
11 10000.26 8.00020799999999872e+04
12 10000.26 8.00020800000000017e+04
13 10000.26 8.00020800000000017e+04
14 10000.26 8.00020800000000163e+04
15 10000.26 8.00020800000000017e+04
16 10000.26 8.00020799999999872e+04
17 10000.26 8.00020799999999872e+04
18 10000.26 8.00020800000000017e+04
19 10000.26 8.00020800000000017e+04
20 10000.26 8.00020799999999872e+04
1 10000.27 8.00021600000000035e+04
2 10000.27 8.00021600000000035e+04
3 10000.27 8.00021600000000035e+04
4 10000.27 8.00021599999999889e+04
5 10000.27 8.00021600000000035e+04
6 10000.27 8.00021600000000035e+04
7 10000.27 8.00021599999999889e+04
8 10000.27 8.00021600000000035e+04
9 10000.27 8.00021600000000035e+04
10 10000.27 8.00021600000000035e+04
11 10000.27 8.00021600000000035e+04
12 10000.27 8.00021600000000035e+04
13 10000.27 8.00021600000000035e+04
14 10000.27 8.00021600000000035e+04
15 10000.27 8.00021600000000035e+04
16 10000.27 8.00021600000000035e+04
17 10000.27 8.00021600000000180e+04
18 10000.27 8.00021599999999889e+04
19 10000.27 8.00021600000000035e+04
20 10000.27 8.00021600000000035e+04
1 10000.28 8.00022400000000198e+04
2 10000.28 8.00022400000000052e+04
3 10000.28 8.00022400000000198e+04
4 10000.28 8.00022400000000198e+04
5 10000.28 8.00022400000000052e+04
6 10000.28 8.00022400000000198e+04
7 10000.28 8.00022400000000052e+04
8 10000.28 8.00022400000000052e+04
9 10000.28 8.00022399999999907e+04
10 10000.28 8.00022400000000052e+04
11 10000.28 8.00022399999999907e+04
12 10000.28 8.00022399999999907e+04
13 10000.28 8.00022400000000198e+04
14 10000.28 8.00022400000000052e+04
15 10000.28 8.00022400000000052e+04
16 10000.28 8.00022400000000052e+04
17 10000.28 8.00022400000000198e+04
18 10000.28 8.00022400000000198e+04
19 10000.28 8.00022400000000052e+04
20 10000.28 8.00022400000000052e+04
1 10000.29 8.00023200000000070e+04
2 10000.29 8.00023200000000070e+04
3 10000.29 8.00023200000000070e+04
4 10000.29 8.00023199999999924e+04
5 10000.29 8.00023200000000215e+04
6 10000.29 8.00023200000000070e+04
7 10000.29 8.00023200000000070e+04
8 10000.29 8.00023199999999924e+04
9 10000.29 8.00023200000000070e+04
10 10000.29 8.00023200000000070e+04
11 10000.29 8.00023199999999924e+04
12 10000.29 8.00023199999999924e+04
13 10000.29 8.00023200000000070e+04
14 10000.29 8.00023199999999924e+04
15 10000.29 8.00023200000000070e+04
16 10000.29 8.00023200000000215e+04
17 10000.29 8.00023200000000070e+04
18 10000.29 8.00023200000000215e+04
19 10000.29 8.00023200000000070e+04
20 10000.29 8.00023199999999924e+04
1 10000.30 8.00023999999999796e+04
2 10000.30 8.00023999999999942e+04
3 10000.30 8.00023999999999942e+04
4 10000.30 8.00023999999999942e+04
5 10000.30 8.00024000000000087e+04
6 10000.30 8.00023999999999942e+04
7 10000.30 8.00023999999999942e+04
8 10000.30 8.00023999999999942e+04
9 10000.30 8.00024000000000087e+04
10 10000.30 8.00023999999999796e+04
11 10000.30 8.00023999999999942e+04
12 10000.30 8.00023999999999796e+04
13 10000.30 8.00023999999999796e+04
14 10000.30 8.00023999999999942e+04
15 10000.30 8.00023999999999942e+04
16 10000.30 8.00023999999999942e+04
17 10000.30 8.00023999999999942e+04
18 10000.30 8.00023999999999942e+04
19 10000.30 8.00023999999999796e+04
20 10000.30 8.00023999999999942e+04
1 10000.31 8.00024799999999959e+04
2 10000.31 8.00024799999999814e+04
3 10000.31 8.00024799999999959e+04
4 10000.31 8.00024800000000105e+04
5 10000.31 8.00024799999999959e+04
6 10000.31 8.00024799999999959e+04
7 10000.31 8.00024799999999814e+04
8 10000.31 8.00024799999999959e+04
9 10000.31 8.00024799999999959e+04
10 10000.31 8.00024799999999959e+04
11 10000.31 8.00024799999999959e+04
12 10000.31 8.00024800000000105e+04
13 10000.31 8.00024799999999959e+04
14 10000.31 8.00024799999999959e+04
15 10000.31 8.00024799999999959e+04
16 10000.31 8.00024799999999959e+04
17 10000.31 8.00024799999999959e+04
18 10000.31 8.00024799999999959e+04
19 10000.31 8.00024799999999959e+04
20 10000.31 8.00024799999999814e+04
1 10000.32 8.00025599999999831e+04
2 10000.32 8.00025600000000122e+04
3 10000.32 8.00025599999999977e+04
4 10000.32 8.00025599999999977e+04
5 10000.32 8.00025599999999831e+04
6 10000.32 8.00025599999999977e+04
7 10000.32 8.00025599999999831e+04
