x0,x1,x2,mean,std_dev,significant_digits,ulp_error
-10.0,-3.8,0.0,4.4404569999999996e-05,4.8304589154070716e-11,5.963439276197168,5.5670271553099155
-10.0,-3.6,0.0,4.419049e-05,3.1622776601753135e-11,6.145328817200995,4.057802295312285
-10.0,-3.4,0.0,4.39318e-05,0.0,inf,3.340659147128463
-10.0,-3.2,0.0,4.361991e-05,3.1622776601753135e-11,6.13968476517241,1.1217153444886208
-10.0,-3.0,0.0,4.32449e-05,0.0,inf,7.764367079362273
-10.0,-2.8,0.0,4.279558e-05,4.2163702135670847e-11,6.006460180050288,1.281627980992198
-10.0,-2.6,0.0,4.22593e-05,0.0,inf,9.7817757204175
-10.0,-2.4,0.0,4.162219e-05,3.1622776601753135e-11,6.119324927385785,7.502251926809549
-10.0,-2.2,0.0,4.08696e-05,0.0,inf,1.6023508086800575
-10.0,-2.0,0.0,3.998652e-05,4.2163702135670847e-11,5.976974872811572,1.783671524375677
-10.0,-1.8,0.0,3.89584e-05,0.0,inf,4.517759285867214
-10.0,-1.6,0.0,3.777215999999999e-05,5.1639777949545456e-11,5.864187454519357,2.898035366088152
-10.0,-1.4,0.0,3.64178e-05,0.0,inf,9.37466076016426
-10.0,-1.2,0.0,3.488978e-05,4.216370213567084e-11,5.917759494372615,7.1869061682373285
-10.0,-1.0,0.0,3.31889e-05,0.0,inf,1.8092423174530268
-10.0,-0.8,0.0,3.13238e-05,0.0,inf,3.235087973996997
-10.0,-0.6,0.0,2.93119e-05,0.0,inf,4.540337640792131
-10.0,-0.4,0.0,2.71796e-05,0.0,inf,21.421740168705583
-10.0,-0.2,0.0,2.4961800000000002e-05,3.5714044887051404e-21,15.844436859065121,0.963123919442296
-10.0,-0.0,0.0,2.269946e-05,5.1639777947795833e-11,5.643031159713488,5.714968100190163
-10.0,0.2,0.0,2.04371e-05,0.0,inf,7.025658406317234
-10.0,0.4,0.0,1.82192e-05,0.0,inf,11.048818819224834
-10.0,0.6,0.0,1.6086899999999997e-05,3.5714044887051404e-21,15.653633322017575,11.003895631060004
-10.0,0.8,0.0,1.40749e-05,0.0,inf,42.52327935025096
-10.0,1.0,0.0,1.2209800000000001e-05,1.7857022443525702e-21,15.834899505670258,30.170539235696197
-10.0,1.2,0.0,1.050883e-05,4.8304589154070716e-11,5.337565973919594,19.93837993592024
-10.0,1.4,0.0,8.980755e-06,5.270462766423145e-12,6.231464099182192,2.100737066939473
-10.0,1.6,0.0,7.626296000000001e-06,5.1639777948670635e-12,6.169329291439424,1.4173052087426186
-10.0,1.8,0.0,6.439989e-06,3.1622776603895977e-12,6.308885125521453,4.597019990906119
-10.0,2.0,0.0,5.41178e-06,0.0,inf,10.995512211695313
-10.0,2.2,0.0,4.528645000000001e-06,5.27046276686957e-12,5.934119528109044,0.6792967487126589
-10.0,2.4,0.0,3.7760199999999996e-06,4.4642556108814255e-22,15.927285232770837,1.4100015871226788
-10.0,2.6,0.0,3.13887e-06,0.0,inf,1.8694162052124739
-10.0,2.8,0.0,2.602509e-06,3.162277660121742e-12,5.915392240069316,9.735332071781158
-10.0,3.0,0.0,2.15313e-06,0.0,inf,14.622530110180378
-10.0,3.2,0.0,1.77812e-06,0.0,inf,18.451026378199458
-10.0,3.4,0.0,1.46621e-06,0.0,inf,2.8219406940042973
-10.0,3.6,0.0,1.2075e-06,0.0,inf,1.6028638295829296
-10.0,3.8,0.0,9.934073000000003e-07,4.830458915529818e-13,6.3131389544012375,1.0840707495808601
-10.0,4.0,0.0,8.165724000000001e-07,5.163977795085767e-13,6.199010330611677,6.998490333557129
-10.0,4.2,0.0,6.707399e-07,3.16227766025567e-13,6.326554141775832,6.134545246139169
-10.0,4.4,0.0,5.506294999999999e-07,5.270462766534752e-13,6.019010725444468,5.158408557996154
-10.0,4.6,0.0,4.51811e-07,0.0,inf,3.460930500179529
-10.0,4.8,0.0,3.7057989999999993e-07,3.1622776600882607e-13,6.068881859797394,4.211750263348222
-10.0,5.0,0.0,3.03855e-07,0.0,inf,4.5899595115333796
-10.0,5.2,0.0,2.490779e-07,3.16227766025567e-13,5.896335195473794,13.276772888377309
-10.0,5.4,0.0,2.0413039999999998e-07,5.163977794949079e-13,5.596923320446708,3.098365966230631
-10.0,5.6,0.0,1.6726399999999998e-07,2.790159756800891e-23,15.777773407935909,14.403441837057471
