i x0 x1 x2 result
10 -10.000000 -5.400000 0.0 4.51938e-05
1 -10.000000 -5.200000 0.0 4.51488e-05
2 -10.000000 -5.200000 0.0 4.51488e-05
3 -10.000000 -5.200000 0.0 4.51489e-05
4 -10.000000 -5.200000 0.0 4.51488e-05
5 -10.000000 -5.200000 0.0 4.51488e-05
6 -10.000000 -5.200000 0.0 4.51488e-05
7 -10.000000 -5.200000 0.0 4.51488e-05
8 -10.000000 -5.200000 0.0 4.51488e-05
9 -10.000000 -5.200000 0.0 4.51488e-05
10 -10.000000 -5.200000 0.0 4.51488e-05
1 -10.000000 -5.000000 0.0 4.5094e-05
2 -10.000000 -5.000000 0.0 4.5094e-05
3 -10.000000 -5.000000 0.0 4.5094e-05
4 -10.000000 -5.000000 0.0 4.5094e-05
5 -10.000000 -5.000000 0.0 4.5094e-05
6 -10.000000 -5.000000 0.0 4.5094e-05
7 -10.000000 -5.000000 0.0 4.5094e-05
8 -10.000000 -5.000000 0.0 4.5094e-05
9 -10.000000 -5.000000 0.0 4.50941e-05
10 -10.000000 -5.000000 0.0 4.5094e-05
1 -10.000000 -4.800000 0.0 4.50273e-05
2 -10.000000 -4.800000 0.0 4.50273e-05
3 -10.000000 -4.800000 0.0 4.50273e-05
4 -10.000000 -4.800000 0.0 4.50273e-05
5 -10.000000 -4.800000 0.0 4.50273e-05
6 -10.000000 -4.800000 0.0 4.50273e-05
7 -10.000000 -4.800000 0.0 4.50273e-05
8 -10.000000 -4.800000 0.0 4.50274e-05
9 -10.000000 -4.800000 0.0 4.50274e-05
10 -10.000000 -4.800000 0.0 4.50273e-05
1 -10.000000 -4.600000 0.0 4.49461e-05
2 -10.000000 -4.600000 0.0 4.49461e-05
3 -10.000000 -4.600000 0.0 4.49461e-05
4 -10.000000 -4.600000 0.0 4.49461e-05
5 -10.000000 -4.600000 0.0 4.49461e-05
6 -10.000000 -4.600000 0.0 4.49461e-05
7 -10.000000 -4.600000 0.0 4.49461e-05
8 -10.000000 -4.600000 0.0 4.49461e-05
9 -10.000000 -4.600000 0.0 4.49461e-05
10 -10.000000 -4.600000 0.0 4.49461e-05
1 -10.000000 -4.400000 0.0 4.48473e-05
2 -10.000000 -4.400000 0.0 4.48473e-05
3 -10.000000 -4.400000 0.0 4.48473e-05
4 -10.000000 -4.400000 0.0 4.48473e-05
5 -10.000000 -4.400000 0.0 4.48473e-05
6 -10.000000 -4.400000 0.0 4.48473e-05
7 -10.000000 -4.400000 0.0 4.48473e-05
8 -10.000000 -4.400000 0.0 4.48473e-05
9 -10.000000 -4.400000 0.0 4.48473e-05
10 -10.000000 -4.400000 0.0 4.48473e-05
1 -10.000000 -4.200000 0.0 4.47272e-05
2 -10.000000 -4.200000 0.0 4.47272e-05
3 -10.000000 -4.200000 0.0 4.47272e-05
4 -10.000000 -4.200000 0.0 4.47272e-05
5 -10.000000 -4.200000 0.0 4.47272e-05
6 -10.000000 -4.200000 0.0 4.47271e-05
7 -10.000000 -4.200000 0.0 4.47272e-05
8 -10.000000 -4.200000 0.0 4.47272e-05
9 -10.000000 -4.200000 0.0 4.47272e-05
10 -10.000000 -4.200000 0.0 4.47272e-05
1 -10.000000 -4.000000 0.0 4.45814e-05
2 -10.000000 -4.000000 0.0 4.45814e-05
3 -10.000000 -4.000000 0.0 4.45814e-05
4 -10.000000 -4.000000 0.0 4.45814e-05
5 -10.000000 -4.000000 0.0 4.45814e-05
6 -10.000000 -4.000000 0.0 4.45814e-05
7 -10.000000 -4.000000 0.0 4.45814e-05
8 -10.000000 -4.000000 0.0 4.45813e-05
9 -10.000000 -4.000000 0.0 4.45814e-05
10 -10.000000 -4.000000 0.0 4.45814e-05
1 -10.000000 -3.800000 0.0 4.44046e-05
2 -10.000000 -3.800000 0.0 4.44046e-05
3 -10.000000 -3.800000 0.0 4.44046e-05
4 -10.000000 -3.800000 0.0 4.44045e-05
5 -10.000000 -3.800000 0.0 4.44045e-05
6 -10.000000 -3.800000 0.0 4.44046e-05
7 -10.000000 -3.800000 0.0 4.44045e-05
8 -10.000000 -3.800000 0.0 4.44046e-05
9 -10.000000 -3.800000 0.0 4.44046e-05
10 -10.000000 -3.800000 0.0 4.44046e-05
