# Verificarlo Analysis for parallel_3
# Source: parallel_3.c
# Type: DOUBLE, Precision: 53, Mode: mca
# Range: [1e10:0.01:1.0000000001e10], Iterations: 20
i x result
4 10000000000.07 8.00000000005599976e+10
5 10000000000.07 8.00000000005599823e+10
6 10000000000.07 8.00000000005599823e+10
7 10000000000.07 8.00000000005599976e+10
8 10000000000.07 8.00000000005599976e+10
9 10000000000.07 8.00000000005599976e+10
10 10000000000.07 8.00000000005599976e+10
11 10000000000.07 8.00000000005599976e+10
12 10000000000.07 8.00000000005599976e+10
13 10000000000.07 8.00000000005599976e+10
14 10000000000.07 8.00000000005599976e+10
15 10000000000.07 8.00000000005599976e+10
16 10000000000.07 8.00000000005599976e+10
17 10000000000.07 8.00000000005599976e+10
18 10000000000.07 8.00000000005599976e+10
19 10000000000.07 8.00000000005599976e+10
20 10000000000.07 8.00000000005599976e+10
1 10000000000.08 8.00000000006399994e+10
2 10000000000.08 8.00000000006399994e+10
3 10000000000.08 8.00000000006399994e+10
4 10000000000.08 8.00000000006399994e+10
5 10000000000.08 8.00000000006400146e+10
6 10000000000.08 8.00000000006399994e+10
7 10000000000.08 8.00000000006399994e+10
8 10000000000.08 8.00000000006399994e+10
9 10000000000.08 8.00000000006399994e+10
10 10000000000.08 8.00000000006399841e+10
11 10000000000.08 8.00000000006400146e+10
12 10000000000.08 8.00000000006399994e+10
13 10000000000.08 8.00000000006399994e+10
14 10000000000.08 8.00000000006399994e+10
15 10000000000.08 8.00000000006399994e+10
16 10000000000.08 8.00000000006399841e+10
17 10000000000.08 8.00000000006400146e+10
18 10000000000.08 8.00000000006399994e+10
19 10000000000.08 8.00000000006399841e+10
20 10000000000.08 8.00000000006399994e+10
1 10000000000.09 8.00000000007200012e+10
2 10000000000.09 8.00000000007200012e+10
3 10000000000.09 8.00000000007200012e+10
4 10000000000.09 8.00000000007200165e+10
5 10000000000.09 8.00000000007200012e+10
6 10000000000.09 8.00000000007200012e+10
7 10000000000.09 8.00000000007200012e+10
8 10000000000.09 8.00000000007200012e+10
9 10000000000.09 8.00000000007200165e+10
10 10000000000.09 8.00000000007200012e+10
11 10000000000.09 8.00000000007200012e+10
12 10000000000.09 8.00000000007199860e+10
13 10000000000.09 8.00000000007199860e+10
14 10000000000.09 8.00000000007199860e+10
15 10000000000.09 8.00000000007200012e+10
16 10000000000.09 8.00000000007200012e+10
17 10000000000.09 8.00000000007200012e+10
18 10000000000.09 8.00000000007200012e+10
19 10000000000.09 8.00000000007199860e+10
20 10000000000.09 8.00000000007199860e+10
1 10000000000.10 8.00000000008000031e+10
2 10000000000.10 8.00000000008000031e+10
3 10000000000.10 8.00000000007999878e+10
4 10000000000.10 8.00000000008000031e+10
5 10000000000.10 8.00000000008000031e+10
6 10000000000.10 8.00000000008000031e+10
7 10000000000.10 8.00000000008000031e+10
8 10000000000.10 8.00000000008000031e+10
9 10000000000.10 8.00000000008000031e+10
10 10000000000.10 8.00000000008000031e+10
11 10000000000.10 8.00000000008000031e+10
12 10000000000.10 8.00000000008000031e+10
13 10000000000.10 8.00000000008000183e+10
14 10000000000.10 8.00000000008000031e+10
15 10000000000.10 8.00000000008000031e+10
16 10000000000.10 8.00000000008000031e+10
17 10000000000.10 8.00000000008000031e+10
18 10000000000.10 8.00000000008000031e+10
19 10000000000.10 8.00000000008000183e+10
20 10000000000.10 8.00000000008000183e+10
1 10000000000.11 8.00000000008800049e+10
2 10000000000.11 8.00000000008800049e+10
3 10000000000.11 8.00000000008800049e+10
4 10000000000.11 8.00000000008800049e+10
5 10000000000.11 8.00000000008800049e+10
6 10000000000.11 8.00000000008800049e+10
7 10000000000.11 8.00000000008799896e+10
8 10000000000.11 8.00000000008800049e+10
9 10000000000.11 8.00000000008800201e+10
10 10000000000.11 8.00000000008800049e+10
11 10000000000.11 8.00000000008800049e+10
12 10000000000.11 8.00000000008800049e+10
13 10000000000.11 8.00000000008800049e+10
14 10000000000.11 8.00000000008800049e+10
15 10000000000.11 8.00000000008800049e+10
16 10000000000.11 8.00000000008800049e+10
17 10000000000.11 8.00000000008800049e+10
18 10000000000.11 8.00000000008800049e+10
19 10000000000.11 8.00000000008800049e+10
20 10000000000.11 8.00000000008799896e+10
1 10000000000.12 8.00000000009600067e+10
2 10000000000.12 8.00000000009599915e+10
3 10000000000.12 8.00000000009600067e+10
4 10000000000.12 8.00000000009600067e+10
5 10000000000.12 8.00000000009600067e+10
6 10000000000.12 8.00000000009600067e+10
7 10000000000.12 8.00000000009599915e+10
8 10000000000.12 8.00000000009600067e+10
9 10000000000.12 8.00000000009600067e+10
10 10000000000.12 8.00000000009599915e+10
11 10000000000.12 8.00000000009599915e+10
12 10000000000.12 8.00000000009599915e+10
13 10000000000.12 8.00000000009600067e+10
14 10000000000.12 8.00000000009600067e+10
15 10000000000.12 8.00000000009600067e+10
16 10000000000.12 8.00000000009600067e+10
17 10000000000.12 8.00000000009600220e+10
18 10000000000.12 8.00000000009600067e+10
19 10000000000.12 8.00000000009600067e+10
20 10000000000.12 8.00000000009600067e+10
1 10000000000.13 8.00000000010399933e+10
2 10000000000.13 8.00000000010399933e+10
3 10000000000.13 8.00000000010399933e+10
4 10000000000.13 8.00000000010399780e+10
5 10000000000.13 8.00000000010399933e+10
6 10000000000.13 8.00000000010399933e+10
7 10000000000.13 8.00000000010399933e+10
8 10000000000.13 8.00000000010399933e+10
9 10000000000.13 8.00000000010400085e+10
10 10000000000.13 8.00000000010400085e+10
11 10000000000.13 8.00000000010399933e+10
12 10000000000.13 8.00000000010399933e+10
13 10000000000.13 8.00000000010400085e+10
14 10000000000.13 8.00000000010400085e+10
15 10000000000.13 8.00000000010399780e+10
16 10000000000.13 8.00000000010399933e+10
17 10000000000.13 8.00000000010399933e+10
18 10000000000.13 8.00000000010399933e+10
19 10000000000.13 8.00000000010399933e+10
20 10000000000.13 8.00000000010399933e+10
1 10000000000.14 8.00000000011199951e+10
2 10000000000.14 8.00000000011199799e+10
3 10000000000.14 8.00000000011199951e+10
4 10000000000.14 8.00000000011199951e+10
5 10000000000.14 8.00000000011199951e+10
6 10000000000.14 8.00000000011199951e+10
7 10000000000.14 8.00000000011199799e+10
8 10000000000.14 8.00000000011199951e+10
9 10000000000.14 8.00000000011199951e+10
10 10000000000.14 8.00000000011200104e+10
11 10000000000.14 8.00000000011199951e+10
12 10000000000.14 8.00000000011199951e+10
13 10000000000.14 8.00000000011199951e+10
14 10000000000.14 8.00000000011199799e+10
