i x result
17 -3.800000 -1.76119196112267673e-04
18 -3.800000 -1.76119356183335185e-04
19 -3.800000 -1.76119341631419957e-04
20 -3.800000 -1.76119196112267673e-04
1 -3.700000 -2.71805678494274616e-04
2 -3.700000 -2.71805969532579184e-04
3 -3.700000 -2.71805707598105073e-04
4 -3.700000 -2.71805969532579184e-04
5 -3.700000 -2.71805940428748727e-04
6 -3.700000 -2.71806231467053294e-04
7 -3.700000 -2.71805940428748727e-04
8 -3.700000 -2.71805969532579184e-04
9 -3.700000 -2.71805969532579184e-04
10 -3.700000 -2.71805969532579184e-04
11 -3.700000 -2.71805969532579184e-04
12 -3.700000 -2.71805678494274616e-04
13 -3.700000 -2.71805940428748727e-04
14 -3.700000 -2.71805678494274616e-04
15 -3.700000 -2.71805707598105073e-04
16 -3.700000 -2.71805969532579184e-04
17 -3.700000 -2.71805969532579184e-04
18 -3.700000 -2.71805678494274616e-04
19 -3.700000 -2.71805969532579184e-04
20 -3.700000 -2.71805678494274616e-04
1 -3.600000 -4.12580557167530060e-04
2 -3.600000 -4.12580557167530060e-04
3 -3.600000 -4.12580149713903666e-04
4 -3.600000 -4.12580557167530060e-04
5 -3.600000 -4.12580120610073209e-04
6 -3.600000 -4.12580149713903666e-04
7 -3.600000 -4.12580149713903666e-04
8 -3.600000 -4.12580149713903666e-04
9 -3.600000 -4.12580149713903666e-04
10 -3.600000 -4.12580557167530060e-04
11 -3.600000 -4.12580557167530060e-04
12 -3.600000 -4.12580935517325997e-04
13 -3.600000 -4.12580557167530060e-04
14 -3.600000 -4.12580557167530060e-04
15 -3.600000 -4.12580557167530060e-04
16 -3.600000 -4.12580149713903666e-04
17 -3.600000 -4.12580557167530060e-04
18 -3.600000 -4.12580586271360517e-04
19 -3.600000 -4.12580557167530060e-04
20 -3.600000 -4.12580120610073209e-04
1 -3.500000 -6.16197881754487753e-04
2 -3.500000 -6.16197299677878618e-04
3 -3.500000 -6.16197881754487753e-04
4 -3.500000 -6.16197299677878618e-04
5 -3.500000 -6.16197299677878618e-04
6 -3.500000 -6.16197881754487753e-04
7 -3.500000 -6.16197241470217705e-04
8 -3.500000 -6.16197241470217705e-04
9 -3.500000 -6.16197299677878618e-04
10 -3.500000 -6.16197881754487753e-04
11 -3.500000 -6.16197299677878618e-04
12 -3.500000 -6.16197299677878618e-04
13 -3.500000 -6.16197881754487753e-04
14 -3.500000 -6.16197299677878618e-04
15 -3.500000 -6.16197299677878618e-04
16 -3.500000 -6.16197881754487753e-04
17 -3.500000 -6.16197299677878618e-04
18 -3.500000 -6.16197299677878618e-04
19 -3.500000 -6.16197881754487753e-04
20 -3.500000 -6.16197299677878618e-04
1 -3.400000 -9.05850378330796957e-04
2 -3.400000 -9.05851193238049746e-04
3 -3.400000 -9.05851193238049746e-04
4 -3.400000 -9.05850378330796957e-04
5 -3.400000 -9.05850378330796957e-04
6 -3.400000 -9.05850378330796957e-04
7 -3.400000 -9.05851193238049746e-04
8 -3.400000 -9.05849447008222342e-04
9 -3.400000 -9.05851193238049746e-04
10 -3.400000 -9.05850378330796957e-04
11 -3.400000 -9.05850320123136044e-04
12 -3.400000 -9.05851193238049746e-04
13 -3.400000 -9.05851135030388832e-04
