x,mean,std_dev,significant_digits,true_value,abs_error,ulp_error
-0.8,-0.1695683085635519,4.7650498839976856e-17,15.551277236613162,-0.16956830856355187,2.7755575615628914e-17,1.0
-0.7,-0.16942986529488321,3.7671026994384524e-17,15.652982505375526,-0.16942986529488321,0.0,0.0
-0.6,-0.16458480076918525,3.5453105654476296e-17,15.666735441174072,-0.16458480076918525,0.0,0.0
-0.5,-0.15428599017485606,2.8476619731297836e-17,15.73383805622791,-0.15428599017485606,0.0,0.0
-0.4,-0.13783883057264382,2.8476619731297836e-17,15.684883144056045,-0.13783883057264382,0.0,0.0
-0.3,-0.11462907645724077,2.9525187749953634e-17,15.589102125438933,-0.11462907645724074,2.7755575615628914e-17,2.0
-0.2,-0.08414857021789371,1.4238309865648918e-17,15.771588301033399,-0.08414857021789374,2.7755575615628914e-17,2.0
-0.1,-0.04601724895456484,4.775674311644532e-18,15.983885950320824,-0.04601724895456484,0.0,0.0
0.0,0.0,0.0,inf,0.0,0.0,0.0
0.1,0.053982751045435165,4.502548920669662e-18,16.078796572937975,0.053982751045435165,0.0,0.0
0.2,0.11585142978210627,1.1028947397559805e-17,16.021367332646285,0.11585142978210627,0.0,0.0
0.3,0.18537092354275927,5.835970407351253e-17,15.501928532617324,0.18537092354275922,5.551115123125783e-17,2.0
0.4,0.2621611694273563,9.005097841339324e-17,15.464079929807754,0.2621611694273562,1.1102230246251565e-16,2.0
0.5,0.345714009825144,7.850462293418876e-17,15.643821747410549,0.34571400982514394,5.551115123125783e-17,1.0
0.6,0.4354151992308147,6.107554509029232e-17,15.853036233401724,0.43541519923081473,5.551115123125783e-17,1.0
0.7,0.5305701347051169,2.0055305137922658e-16,15.422513526223845,0.5305701347051167,2.220446049250313e-16,2.0
0.8,0.6304316914364481,1.0188105198175002e-16,15.79154461610209,0.6304316914364482,1.1102230246251565e-16,1.0
0.9,0.7342284887097206,1.2987336803007606e-16,15.752311128183937,0.7342284887097207,1.1102230246251565e-16,1.0
1.0,0.8411919906082768,1.1390647892519134e-16,15.868346701743686,0.8411919906082768,0.0,0.0
1.1,0.9505810461745107,3.2318140699325084e-16,15.468542783212078,0.9505810461745109,2.220446049250313e-16,2.0
1.2,1.0617027691378653,4.556259157007654e-16,15.367394531594911,1.0617027691378649,4.440892098500626e-16,2.0
1.3,1.1739290123173092,2.4955659181325643e-16,15.672472789993648,1.1739290123173094,2.220446049250313e-16,1.0
1.4,1.2867080671611941,2.278129578503827e-16,15.751901600996902,1.2867080671611943,2.220446049250313e-16,1.0
1.5,1.3995715769802328,1.6108808733817073e-16,15.938931689090108,1.3995715769802328,0.0,0.0
1.6,1.5121369621443612,4.498945439563665e-16,15.526480402925005,1.5121369621443617,4.440892098500626e-16,2.0
1.7,1.6241058955511563,1.97291808809705e-16,15.915505288332827,1.624105895551156,2.220446049250313e-16,1.0
1.8,1.7352595268459297,1.9060199535990743e-16,15.959236994589823,1.7352595268459297,0.0,0.0
1.9,1.8454512344553327,2.278129578503827e-16,15.908524150741718,1.8454512344553327,0.0,0.0
2.0,1.9545976940877747,2.695519268533548e-16,15.860414941413413,1.954597694087775,2.220446049250313e-16,1.0
2.1,2.0626690049611125,3.3790122267015927e-16,15.785639779395645,2.062669004961112,4.440892098500626e-16,1.0
2.2,2.1696785270380112,7.8916723523882e-16,15.439226345011834,2.1696785270380117,4.440892098500626e-16,1.0
2.3,2.2756729702040817,9.930136612989092e-16,15.360154627809788,2.2756729702040808,8.881784197001252e-16,2.0
2.4,2.3807231538443987,5.763262618457167e-16,15.616040485900145,2.3807231538443983,4.440892098500626e-16,1.0
