i x result
17 -3.800000 -1.76101922988891602e-04
18 -3.800000 -1.76101922988891602e-04
19 -3.800000 -1.76101922988891602e-04
20 -3.800000 -1.76101922988891602e-04
1 -3.700000 -2.71812081336975098e-04
2 -3.700000 -2.71812081336975098e-04
3 -3.700000 -2.71812110440805554e-04
4 -3.700000 -2.71812081336975098e-04
5 -3.700000 -2.71812081336975098e-04
6 -3.700000 -2.71812081336975098e-04
7 -3.700000 -2.71812081336975098e-04
8 -3.700000 -2.71812081336975098e-04
9 -3.700000 -2.71812081336975098e-04
10 -3.700000 -2.71812081336975098e-04
11 -3.700000 -2.71812081336975098e-04
12 -3.700000 -2.71812081336975098e-04
13 -3.700000 -2.71812081336975098e-04
14 -3.700000 -2.71812081336975098e-04
15 -3.700000 -2.71812081336975098e-04
16 -3.700000 -2.71812081336975098e-04
17 -3.700000 -2.71812081336975098e-04
18 -3.700000 -2.71812110440805554e-04
19 -3.700000 -2.71812081336975098e-04
20 -3.700000 -2.71812081336975098e-04
1 -3.600000 -4.12631052313372493e-04
2 -3.600000 -4.12631023209542036e-04
3 -3.600000 -4.12631023209542036e-04
4 -3.600000 -4.12631023209542036e-04
5 -3.600000 -4.12631023209542036e-04
6 -3.600000 -4.12631023209542036e-04
7 -3.600000 -4.12631023209542036e-04
8 -3.600000 -4.12631023209542036e-04
9 -3.600000 -4.12631023209542036e-04
10 -3.600000 -4.12631023209542036e-04
11 -3.600000 -4.12631023209542036e-04
12 -3.600000 -4.12631023209542036e-04
13 -3.600000 -4.12631023209542036e-04
14 -3.600000 -4.12631023209542036e-04
15 -3.600000 -4.12631023209542036e-04
16 -3.600000 -4.12631023209542036e-04
17 -3.600000 -4.12631023209542036e-04
18 -3.600000 -4.12631023209542036e-04
19 -3.600000 -4.12631023209542036e-04
20 -3.600000 -4.12631023209542036e-04
1 -3.500000 -6.16148114204406738e-04
2 -3.500000 -6.16148114204406738e-04
3 -3.500000 -6.16148114204406738e-04
4 -3.500000 -6.16148114204406738e-04
5 -3.500000 -6.16148114204406738e-04
6 -3.500000 -6.16148114204406738e-04
7 -3.500000 -6.16148114204406738e-04
8 -3.500000 -6.16148114204406738e-04
9 -3.500000 -6.16148114204406738e-04
10 -3.500000 -6.16148114204406738e-04
11 -3.500000 -6.16148114204406738e-04
12 -3.500000 -6.16148114204406738e-04
13 -3.500000 -6.16148114204406738e-04
14 -3.500000 -6.16148114204406738e-04
