i x result
19 -0.970000 -9.69999999999999973e-01
20 -0.970000 -9.69999999999999973e-01
1 -0.960000 -9.59999999999999964e-01
2 -0.960000 -9.59999999999999964e-01
3 -0.960000 -9.59999999999999964e-01
4 -0.960000 -9.59999999999999964e-01
5 -0.960000 -9.59999999999999964e-01
6 -0.960000 -9.59999999999999964e-01
7 -0.960000 -9.59999999999999964e-01
8 -0.960000 -9.59999999999999964e-01
9 -0.960000 -9.59999999999999964e-01
10 -0.960000 -9.59999999999999964e-01
11 -0.960000 -9.59999999999999964e-01
12 -0.960000 -9.59999999999999964e-01
13 -0.960000 -9.59999999999999964e-01
14 -0.960000 -9.59999999999999964e-01
15 -0.960000 -9.59999999999999964e-01
16 -0.960000 -9.59999999999999964e-01
17 -0.960000 -9.59999999999999964e-01
18 -0.960000 -9.59999999999999964e-01
19 -0.960000 -9.59999999999999964e-01
20 -0.960000 -9.59999999999999964e-01
1 -0.950000 -9.49999999999999956e-01
2 -0.950000 -9.49999999999999956e-01
3 -0.950000 -9.49999999999999956e-01
4 -0.950000 -9.49999999999999956e-01
5 -0.950000 -9.49999999999999956e-01
6 -0.950000 -9.49999999999999956e-01
7 -0.950000 -9.49999999999999956e-01
8 -0.950000 -9.49999999999999956e-01
9 -0.950000 -9.49999999999999956e-01
10 -0.950000 -9.49999999999999956e-01
11 -0.950000 -9.49999999999999956e-01
12 -0.950000 -9.49999999999999956e-01
13 -0.950000 -9.49999999999999956e-01
14 -0.950000 -9.49999999999999956e-01
15 -0.950000 -9.49999999999999956e-01
16 -0.950000 -9.49999999999999956e-01
17 -0.950000 -9.49999999999999956e-01
18 -0.950000 -9.49999999999999956e-01
19 -0.950000 -9.49999999999999956e-01
20 -0.950000 -9.49999999999999956e-01
1 -0.940000 -9.39999999999999947e-01
2 -0.940000 -9.39999999999999947e-01
3 -0.940000 -9.39999999999999947e-01
4 -0.940000 -9.39999999999999947e-01
5 -0.940000 -9.39999999999999947e-01
6 -0.940000 -9.39999999999999947e-01
7 -0.940000 -9.39999999999999947e-01
8 -0.940000 -9.39999999999999947e-01
9 -0.940000 -9.39999999999999947e-01
10 -0.940000 -9.39999999999999947e-01
11 -0.940000 -9.39999999999999947e-01
12 -0.940000 -9.39999999999999947e-01
13 -0.940000 -9.39999999999999947e-01
14 -0.940000 -9.39999999999999947e-01
15 -0.940000 -9.39999999999999947e-01
16 -0.940000 -9.39999999999999947e-01
17 -0.940000 -9.39999999999999947e-01
18 -0.940000 -9.39999999999999947e-01
19 -0.940000 -9.39999999999999947e-01
20 -0.940000 -9.39999999999999947e-01
1 -0.930000 -9.30000000000000049e-01
2 -0.930000 -9.30000000000000049e-01
3 -0.930000 -9.30000000000000049e-01
4 -0.930000 -9.30000000000000049e-01
5 -0.930000 -9.30000000000000049e-01
6 -0.930000 -9.30000000000000049e-01
7 -0.930000 -9.30000000000000049e-01
8 -0.930000 -9.30000000000000049e-01
9 -0.930000 -9.30000000000000049e-01
10 -0.930000 -9.30000000000000049e-01
11 -0.930000 -9.30000000000000049e-01
12 -0.930000 -9.30000000000000049e-01
13 -0.930000 -9.30000000000000049e-01
14 -0.930000 -9.30000000000000049e-01
15 -0.930000 -9.30000000000000049e-01
16 -0.930000 -9.30000000000000049e-01
17 -0.930000 -9.30000000000000049e-01
18 -0.930000 -9.30000000000000049e-01
19 -0.930000 -9.30000000000000049e-01
20 -0.930000 -9.30000000000000049e-01
1 -0.920000 -9.20000000000000040e-01
2 -0.920000 -9.20000000000000040e-01
3 -0.920000 -9.20000000000000040e-01
4 -0.920000 -9.20000000000000040e-01
5 -0.920000 -9.20000000000000040e-01
6 -0.920000 -9.20000000000000040e-01
7 -0.920000 -9.20000000000000040e-01
8 -0.920000 -9.20000000000000040e-01
9 -0.920000 -9.20000000000000040e-01
10 -0.920000 -9.20000000000000040e-01
11 -0.920000 -9.20000000000000040e-01
12 -0.920000 -9.20000000000000040e-01
13 -0.920000 -9.20000000000000040e-01
14 -0.920000 -9.20000000000000040e-01
15 -0.920000 -9.20000000000000040e-01
16 -0.920000 -9.20000000000000040e-01
17 -0.920000 -9.20000000000000040e-01
18 -0.920000 -9.20000000000000040e-01
19 -0.920000 -9.20000000000000040e-01
20 -0.920000 -9.20000000000000040e-01
1 -0.910000 -9.10000000000000031e-01
2 -0.910000 -9.10000000000000031e-01
